time,userId,target,pred,prediction
2020-02-16 11:09:31,988088403,Vélo,0,Vélo
2020-02-16 11:14:31,988088403,Vélo,0,Vélo
2020-02-16 11:19:31,988088403,Vélo,0,Vélo
2020-02-16 11:24:31,988088403,Vélo,0,Vélo
2020-02-16 11:29:31,988088403,Vélo,0,Vélo
2020-02-16 11:34:31,988088403,Vélo,0,Vélo
2020-02-16 11:39:31,988088403,Vélo,0,Vélo
2020-02-16 11:44:31,988088403,Vélo,0,Vélo
2020-02-16 11:49:31,988088403,Vélo,0,Vélo
2020-02-16 11:54:31,988088403,Vélo,0,Vélo
2020-02-16 11:59:31,988088403,Vélo,0,Vélo
2020-02-16 12:04:31,988088403,Vélo,0,Vélo
2020-02-16 20:08:21,988088403,Domicile,9,indoor
2020-02-17 08:49:22,988088403,Magasin,9,indoor
2020-02-17 08:54:22,988088403,Magasin,9,indoor
2020-02-17 09:04:22,988088403,Motorcycle,1,Motorcycle
2020-02-17 09:09:45,988088403,Motorcycle,1,Motorcycle
2020-02-17 09:14:45,988088403,Motorcycle,1,Motorcycle
2020-02-17 09:19:45,988088403,Motorcycle,1,Motorcycle
2020-02-17 19:27:32,988088403,Motorcycle,1,Motorcycle
2020-02-17 19:32:32,988088403,Motorcycle,1,Motorcycle
2020-02-17 19:37:32,988088403,Motorcycle,1,Motorcycle
2020-02-17 19:42:32,988088403,Motorcycle,1,Motorcycle
2020-02-19 07:52:52,988088403,Domicile,9,indoor
2020-02-19 07:57:54,988088403,Domicile,9,indoor
2020-02-19 08:02:58,988088403,Domicile,9,indoor
2020-02-19 08:08:06,988088403,Domicile,9,indoor
2020-02-19 08:13:24,988088403,Domicile,9,indoor
2020-02-19 08:18:32,988088403,Domicile,9,indoor
2020-02-19 08:23:38,988088403,Domicile,9,indoor
2020-02-19 08:33:44,988088403,Motorcycle,1,Motorcycle
2020-02-19 08:38:44,988088403,Motorcycle,1,Motorcycle
2020-02-19 08:43:44,988088403,Motorcycle,1,Motorcycle
2020-02-19 08:48:44,988088403,Motorcycle,1,Motorcycle
2020-02-19 19:23:16,988088403,Motorcycle,1,Motorcycle
2020-02-19 19:33:25,988088403,Voiture,4,Voiture
2020-02-19 19:38:25,988088403,Voiture,1,Motorcycle
2020-02-20 08:58:03,988088403,Motorcycle,1,Motorcycle
2020-02-20 18:44:44,988088403,Motorcycle,1,Motorcycle
2020-02-20 18:49:44,988088403,Motorcycle,1,Motorcycle
2020-02-20 18:54:44,988088403,Motorcycle,1,Motorcycle
2020-02-20 18:59:54,988088403,Motorcycle,1,Motorcycle
2020-02-21 18:26:32,988088403,Motorcycle,1,Motorcycle
2020-02-21 18:31:32,988088403,Motorcycle,1,Motorcycle
2020-02-21 18:36:32,988088403,Motorcycle,1,Motorcycle
2020-02-21 18:41:32,988088403,Motorcycle,1,Motorcycle
2020-02-21 18:46:32,988088403,Motorcycle,1,Motorcycle
2020-02-21 18:51:32,988088403,Motorcycle,9,indoor
2020-03-06 17:01:31,988231648,Bureau,9,indoor
2020-03-06 17:58:51,988231648,Motorcycle,1,Motorcycle
2020-03-06 18:03:51,988231648,Motorcycle,9,indoor
2020-03-06 18:08:51,988231648,Motorcycle,1,Motorcycle
2020-03-07 03:20:21,988231648,Domicile,9,indoor
2020-03-07 03:25:22,988231648,Domicile,9,indoor
2020-03-09 14:16:52,988231648,Domicile,9,indoor
2020-03-11 11:59:22,988231648,Indoor,9,indoor
2020-01-24 12:52:41,982228564,Domicile,9,indoor
2020-01-24 13:23:54,982228564,Domicile,9,indoor
