day,total_aqs,rank
2019-10-26,12.171461412151066,1
2019-10-21,15.500372194854966,2
2019-10-24,32.13960153256703,3
2019-10-25,40.61539792008763,4
2019-10-22,62.10683524904212,5
2019-10-23,84.69915708812265,6
