move_id,total_distance,total_duration,rank_by_distance,rank_by_duration
178,769.0501527700313,0 days 00:02:39,130,379
214,763.9075479049407,0 days 00:03:09,131,226
397,754.6069332548489,0 days 00:03:15,132,156
218,749.6924146744241,0 days 00:02:27,133,401
302,745.9343906205819,0 days 00:03:17,134,146
558,745.7499399415536,0 days 00:03:06,135,263
306,744.8300111424929,0 days 00:03:12,136,192
484,743.226327324743,0 days 00:32:06,137,5
200,740.7883750322718,0 days 00:02:43,138,368
123,737.66628615915,0 days 00:03:00,139,310
452,732.7953183856323,0 days 00:03:06,140,263
206,727.4320331715221,0 days 00:02:52,141,341
419,720.6183737493287,0 days 00:03:32,142,127
182,719.7989194187485,0 days 00:03:26,143,133
202,717.4361921981911,0 days 00:02:27,144,401
41,715.5135877585109,0 days 00:03:48,145,102
101,710.9122543330516,0 days 00:02:56,146,327
437,710.0491986469332,0 days 00:03:13,147,176
511,708.6995595298832,0 days 00:13:11,148,17
198,705.4839909137846,0 days 00:03:03,149,293
499,704.3304076241272,0 days 00:03:36,150,120
399,701.3539984591374,0 days 00:03:25,151,135
177,692.2866967196097,0 days 00:02:46,152,361
417,689.730358807597,0 days 00:03:10,153,211
497,687.2071347439361,0 days 00:03:17,154,146
126,686.1868106226251,0 days 00:03:15,155,156
93,683.4339649774798,0 days 00:03:04,156,281
60,683.4255134127538,0 days 00:03:11,157,200
199,681.3892973280134,0 days 00:02:30,158,392
180,680.35292595892,0 days 00:03:39,159,115
407,675.4812679786617,0 days 00:04:28,160,80
29,673.3641847629442,0 days 00:02:59,161,316
107,671.2622887368256,0 days 00:02:16,162,502
320,669.7204524575093,0 days 00:05:41,163,59
236,666.0356459181803,0 days 00:03:21,164,139
106,661.57656324476,0 days 00:02:48,165,353
392,660.077131614031,0 days 00:04:30,166,78
349,653.8304946694986,0 days 00:02:54,167,333
405,653.7557294791845,0 days 00:03:14,168,161
495,647.4298154289452,0 days 00:03:46,169,107
354,643.7310106331757,0 days 00:03:04,170,281
127,643.1818089863564,0 days 00:02:29,171,395
587,639.9691676537251,0 days 00:02:48,172,353
586,637.6582264156409,0 days 00:02:40,173,377
136,637.1243316155395,0 days 00:02:38,174,380
356,636.2958283728418,0 days 00:02:58,175,322
172,629.2179448233226,0 days 00:02:33,176,386
37,629.1185244818216,0 days 00:05:19,177,63
391,628.2776207784499,0 days 00:04:15,178,87
459,627.1226308732439,0 days 00:03:05,179,274
555,623.156618336745,0 days 00:03:12,180,192
171,622.7554638057072,0 days 00:02:27,181,401
379,621.3431660159777,0 days 00:03:13,182,176
233,620.7417721786053,0 days 00:02:22,183,419
187,616.453202465256,0 days 00:02:24,184,408
448,613.2133202590094,0 days 00:08:53,185,26
217,609.5576885330674,0 days 00:02:54,186,333
124,606.2058850736993,0 days 00:02:20,187,430
386,605.9520115179362,0 days 00:03:46,188,107
108,604.70444904399,0 days 00:06:50,189,37
164,601.6437948125222,0 days 00:02:23,190,414
458,599.8013972516469,0 days 00:03:07,191,251
147,595.6966770230348,0 days 00:02:36,192,381
383,588.2207656086362,0 days 00:03:47,193,105
244,587.877856020399,0 days 00:04:01,194,96
191,584.548197789867,0 days 00:02:33,195,386
121,583.4867051772067,0 days 00:02:42,196,372
76,579.5969885428742,0 days 00:09:02,197,25
185,575.7884349692627,0 days 00:03:51,198,99
512,565.2471476316327,0 days 00:08:07,199,29
119,557.9351936457023,0 days 00:06:00,200,49
346,557.3169659948758,0 days 00:03:06,201,263
585,553.8800742042595,0 days 00:02:46,202,361
453,543.2209931397595,0 days 00:03:08,203,241
116,541.6025518832307,0 days 00:04:22,204,82
584,539.8627174392624,0 days 00:02:48,205,353
468,534.2249992560189,0 days 00:03:28,206,132
247,532.0115891392923,0 days 00:02:29,207,395
524,528.8930341446713,0 days 00:28:31,208,6
249,528.4719058644738,0 days 00:06:10,209,46
75,525.3457937232034,0 days 00:03:14,210,161
38,522.6978916045582,0 days 00:03:07,211,251
36,515.6958313272821,0 days 00:02:49,212,349
262,505.7050069933655,0 days 00:02:17,213,489
252,496.8097954693872,0 days 00:05:15,214,64
261,494.6298217434652,0 days 00:06:49,215,38
259,491.9342038460866,0 days 00:05:43,216,58
561,486.09084492775577,0 days 07:03:13,217,2
456,480.8626752362532,0 days 00:03:38,218,117
532,480.70821424760624,0 days 14:32:12,219,1
111,479.33372116045706,0 days 00:11:42,220,21
527,479.19668545178945,0 days 00:08:04,221,30
312,464.4712477676075,0 days 00:03:15,222,156
265,462.60153959964384,0 days 00:06:05,223,48
440,461.7963305152067,0 days 00:02:01,224,533
311,460.5532892547835,0 days 00:03:10,225,211
112,457.97599800506424,0 days 00:20:32,226,10
45,452.02904250218876,0 days 00:02:47,227,358
44,451.46761152537107,0 days 00:02:53,228,339
72,448.2850397526526,0 days 00:05:44,229,57
521,436.365577916416,0 days 00:06:24,230,44
446,430.2152611324655,0 days 00:02:52,231,341
517,414.28736932455377,0 days 00:05:34,232,60
256,410.3229773576064,0 days 00:12:58,233,18
454,409.541299770701,0 days 00:03:04,234,281
588,409.1673314090363,0 days 00:02:52,235,341
515,405.70900836766066,0 days 00:05:57,236,51
50,395.1855609310534,0 days 00:02:17,237,489
516,394.6155856343789,0 days 00:05:53,238,55
508,394.10944408128654,0 days 00:03:35,239,123
518,389.76551706143965,0 days 00:04:51,240,67
258,389.31467406048097,0 days 00:02:54,241,333
525,387.2023875959818,0 days 00:06:35,242,41
26,387.11074854413033,0 days 00:02:15,243,511
583,385.77680917579477,0 days 00:03:03,244,293
